name,type,status
A00 Cólera,clinical problems,1  
A01 Fiebres tifoidea y paratifoidea,clinical problems,1  
A02 Otras infecciones debidas a Salmonella,clinical problems,1  
A03 Shigelosis,clinical problems,1  
A04 Otras infecciones intestinales bacterianas,clinical problems,1  
A05 Otras intoxicaciones alimentarias bacterianas (no clasificadas en otra parte),clinical problems,1  
A06 Amebiasis,clinical problems,1  
A07 Otras enfermedades intestinales debidas a protozoarios,clinical problems,1  
A08 Infecciones intestinales debidas a virus y otros organismos especificados,clinical problems,1  
A09 Diarrea y gastroenteritis de presunto origen infeccioso,clinical problems,1  
A15 Tuberculosis respiratoria (confirmada bacteriológica e histológicamente),clinical problems,1  
A16 Tuberculosis respiratoria (no confirmada bacteriológica o histológicamente),clinical problems,1  
A17 Tuberculosis del sistema nervioso,clinical problems,1  
A18 Tuberculosis de otros órganos,clinical problems,1  
A19 Tuberculosis miliar,clinical problems,1  
A20 Peste,clinical problems,1  
A21 Tularemia,clinical problems,1  
A22 Carbunco [ántrax],clinical problems,1  
A23 Brucelosis,clinical problems,1  
A24 Muermo y melioidosis,clinical problems,1  
A25 Fiebres por mordedura de rata,clinical problems,1  
A26 Erisipeloide,clinical problems,1  
A27 Leptospirosis,clinical problems,1  
A28 Otras enfermedades zoonóticas bacterianas (no clasificadas en otra parte),clinical problems,1  
A30 Lepra [enfermedad de Hansen],clinical problems,1  
A31 Infecciones debidas a otras micobacterias,clinical problems,1  
A32 Listeriosis,clinical problems,1  
A33 Tétanos neonatal,clinical problems,1  
A34 Tétanos obstétrico,clinical problems,1  
A35 Otros tétanos,clinical problems,1  
A36 Difteria,clinical problems,1  
A37 Tos ferina [tos convulsiva],clinical problems,1  
A38 Escarlatina,clinical problems,1  
A39 Infección meningocócica,clinical problems,1  
A40 Septicemia estreptocócica,clinical problems,1  
A41 Otras septicemias,clinical problems,1  
A42 Actinomicosis,clinical problems,1  
A43 Nocardiosis,clinical problems,1  
A44 Bartonelosis,clinical problems,1  
A46 Erisipela,clinical problems,1  
A48 Otras enfermedades bacterianas (no clasificadas en otra parte),clinical problems,1  
A49 Infección bacteriana de sitio no especificado,clinical problems,1  
A50 Sífilis congénita,clinical problems,1  
A51 Sífilis precoz,clinical problems,1  
A52 Sífilis tardía,clinical problems,1  
A53 Otras sífilis y las no especificadas,clinical problems,1  
A54 Infección gonocócica,clinical problems,1  
A55 Linfogranuloma (venéreo) por clamidias,clinical problems,1  
A56 Otras enfermedades de transmisión sexual debidas a clamidias,clinical problems,1  
A57 Chancro blando,clinical problems,1  
A58 Granuloma inguinal,clinical problems,1  
A59 Tricomoniasis,clinical problems,1  
A60 Infección anogenital debida a virus del herpes [herpes simple],clinical problems,1  
A63 Otras enfermedades de transmisión predominantemente sexual (no clasificadas en otra parte),clinical problems,1  
A64 Enfermedad de transmisión sexual no especificada,clinical problems,1  
A65 Sífilis no venérea,clinical problems,1  
A66 Frambesia,clinical problems,1  
A67 Pinta [carate],clinical problems,1  
A68 Fiebres recurrentes,clinical problems,1  
A69 Otras infecciones causadas por espiroquetas,clinical problems,1  
A70 Infección debida a Chlamydia psittaci,clinical problems,1  
A71 Tracoma,clinical problems,1  
A74 Otras enfermedades causadas por clamidias,clinical problems,1  
A75 Tifus,clinical problems,1  
A77 Fiebre maculosa [rickettsiosis transmitida por garrapatas],clinical problems,1  
A78 Fiebre Q,clinical problems,1  
A79 Otras rickettsiosis,clinical problems,1  
A80 Poliomielitis aguda,clinical problems,1  
A81 Infecciones del sistema nervioso central por virus atípico,clinical problems,1  
A82 Rabia,clinical problems,1  
A83 Encefalitis viral transmitida por mosquitos,clinical problems,1  
A84 Encefalitis viral transmitida por garrapatas,clinical problems,1  
A85 Otras encefalitis virales (no clasificadas en otra parte),clinical problems,1  
A86 Encefalitis viral no especificada,clinical problems,1  
A87 Meningitis viral,clinical problems,1  
A88 Otras infecciones virales del sistema nervioso central (no clasificadas en otra parte),clinical problems,1  
A89 Infección viral del sistema nervioso central no especificada,clinical problems,1  
A90 Fiebre del dengue [dengue clásico],clinical problems,1  
A91 Fiebre del dengue hemorrágico,clinical problems,1  
A92 Otras fiebres virales transmitidas por mosquitos,clinical problems,1  
A93 Otras fiebres virales transmitidas por artrópodos (no clasificadas en otra parte),clinical problems,1  
A94 Fiebre viral transmitida por artrópodos no especificada,clinical problems,1  
A95 Fiebre amarilla,clinical problems,1  
A96 Fiebre hemorrágica por arenavirus,clinical problems,1  
A98 Otras fiebres virales hemorrágicas (no clasificadas en otra parte),clinical problems,1  
A99 Fiebre viral hemorrágica no especificada,clinical problems,1  
B00 Infecciones herpéticas [herpes simple],clinical problems,1  
B01 Varicela,clinical problems,1  
B02 Herpes zoster,clinical problems,1  
B03 Viruela,clinical problems,1  
B04 Viruela de los monos,clinical problems,1  
B05 Sarampión,clinical problems,1  
B06 Rubéola [sarampión alemán],clinical problems,1  
B07 Verrugas víricas,clinical problems,1  
B08 Otras infecciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas (no clasificadas en otra parte),clinical problems,1  
B09 Infección viral no especificada caracterizada por lesiones de la piel y de las membranas mucosas,clinical problems,1  
B15 Hepatitis aguda tipo A,clinical problems,1  
B16 Hepatitis aguda tipo B,clinical problems,1  
B17 Otras hepatitis virales agudas,clinical problems,1  
B18 Hepatitis viral crónica,clinical problems,1  
B19 Hepatitis viral sin otra especificación,clinical problems,1  
B20 Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en enfermedades infecciosas y parasitarias,clinical problems,1  
B21 Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en tumores malignos,clinical problems,1  
B22 Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en otras enfermedades especificadas,clinical problems,1  
B23 Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en otras afecciones,clinical problems,1  
B24 Enfermedad por virus de la inmunodeficiencia humana [VIH] sin otra especificación,clinical problems,1  
B25 Enfermedad debida a virus citomegálico,clinical problems,1  
B26 Parotiditis infecciosa,clinical problems,1  
B27 Mononucleosis infecciosa,clinical problems,1  
B30 Conjuntivitis viral,clinical problems,1  
B33 Otras enfermedades virales (no clasificadas en otra parte),clinical problems,1  
B34 Infección viral de sitio no especificado,clinical problems,1  
B35 Dermatofitosis,clinical problems,1  
B36 Otras micosis superficiales,clinical problems,1  
B37 Candidiasis,clinical problems,1  
B38 Coccidioidomicosis,clinical problems,1  
B39 Histoplasmosis,clinical problems,1  
B40 Blastomicosis,clinical problems,1  
B41 Paracoccidioidomicosis,clinical problems,1  
B42 Esporotricosis,clinical problems,1  
B43 Cromomicosis y absceso feomicótico,clinical problems,1  
B44 Aspergilosis,clinical problems,1  
B45 Criptococosis,clinical problems,1  
B46 Cigomicosis,clinical problems,1  
B47 Micetoma,clinical problems,1  
B48 Otras micosis (no clasificadas en otra parte),clinical problems,1  
B49 Micosis no especificada,clinical problems,1  
B50 Paludismo [malaria] debido a Plasmodium falciparum,clinical problems,1  
B51 Paludismo [malaria] debido a Plasmodium vivax,clinical problems,1  
B52 Paludismo [malaria] debido a Plasmodium malariae,clinical problems,1  
B53 Otro paludismo [malaria] confirmado parasitológicamente,clinical problems,1  
B54 Paludismo [malaria] no especificado,clinical problems,1  
B55 Leishmaniasis,clinical problems,1  
B56 Tripanosomiasis africana,clinical problems,1  
B57 Enfermedad de Chagas,clinical problems,1  
B58 Toxoplasmosis,clinical problems,1  
B59 Neumocistosis,clinical problems,1  
B60 Otras enfermedades debidas a protozoarios (no clasificadas en otra parte),clinical problems,1  
B64 Enfermedad debida a protozoarios no especificada,clinical problems,1  
B65 Esquistosomiasis [bilharziasis],clinical problems,1  
B66 Otras infecciones debidas a trematodos,clinical problems,1  
B67 Equinococosis,clinical problems,1  
B68 Teniasis,clinical problems,1  
B69 Cisticercosis,clinical problems,1  
B70 Difilobotriasis y esparganosis,clinical problems,1  
B71 Otras infecciones debidas a cestodos,clinical problems,1  
B72 Dracontiasis,clinical problems,1  
B73 Oncocercosis,clinical problems,1  
B74 Filariasis,clinical problems,1  
B75 Triquinosis,clinical problems,1  
B76 Anquilostomiasis y necatoriasis,clinical problems,1  
B77 Ascariasis,clinical problems,1  
B78 Estrongiloidiasis,clinical problems,1  
B79 Tricuriasis,clinical problems,1  
B80 Enterobiasis,clinical problems,1  
B81 Otras helminiasis intestinales (no clasificadas en otra parte),clinical problems,1  
B82 Parasitosis intestinales sin otra especificación,clinical problems,1  
B83 Otras helminiasis,clinical problems,1  
B85 Pediculosis y phthiriasis,clinical problems,1  
B86 Escabiosis,clinical problems,1  
B87 Miasis,clinical problems,1  
B88 Otras infestaciones,clinical problems,1  
B89 Enfermedad parasitaria no especificada,clinical problems,1  
B90 Secuelas de tuberculosis,clinical problems,1  
B91 Secuelas de poliomielitis,clinical problems,1  
B92 Secuelas de lepra,clinical problems,1  
B94 Secuelas de otras enfermedades infecciosas y parasitarias y de las no especificadas,clinical problems,1  
B95 Estreptococos y estafilococos como causa de enfermedades clasificadas en otros capítulos,clinical problems,1  
B96 Otros agentes bacterianos como causa de enfermedades clasificadas en otros capítulos,clinical problems,1  
B97 Agentes virales como causa de enfermedades clasificadas en otros capítulos,clinical problems,1  
B99 Otras enfermedades infecciosas y las no especificadas,clinical problems,1  
C00 Tumor maligno del labio (excepto la piel interna del labio),clinical problems,1  
C01 Tumor maligno de la base de la lengua,clinical problems,1  
C02 Otros tumores malignos de otras partes y las no especificadas de la lengua,clinical problems,1  
C03 Tumor maligno de la encía,clinical problems,1  
C04 Tumor maligno del piso de la boca,clinical problems,1  
C05 Tumor maligno del paladar,clinical problems,1  
C06 Tumor maligno de otras partes y las no especificadas de la boca,clinical problems,1  
C07 Tumor maligno de la glándula parótida,clinical problems,1  
C08 Tumor maligno de otras glándulas salivales mayores y de las no especificadas,clinical problems,1  
C09 Tumor maligno de la amígdala,clinical problems,1  
C10 Tumor maligno de la orofaringe,clinical problems,1  
C11 Tumor maligno de la nasofaringe,clinical problems,1  
C12 Tumor maligno del seno piriforme,clinical problems,1  
C13 Tumor maligno de la hipofaringe,clinical problems,1  
C14 Tumor maligno de otros sitios y de los no especificados de los labios, cavidad bucal y faringe,clinical problems,1  
C15 Tumor maligno del esófago,clinical problems,1  
C16 Tumor maligno del estómago,clinical problems,1  
C17 Tumor maligno del intestino delgado,clinical problems,1  
C18 Tumor maligno del colon,clinical problems,1  
C19 Tumor maligno de la unión rectosigmoidea,clinical problems,1  
C20 Tumor maligno del recto,clinical problems,1  
C21 Tumor maligno del ano y del conducto anal,clinical problems,1  
C22 Tumor maligno del hígado y de las vías biliares intrahepáticas,clinical problems,1  
C23 Tumor maligno de la vesícula biliar,clinical problems,1  
C24 Tumor maligno de otras partes y de las no especificadas de las vías biliares,clinical problems,1  
C25 Tumor maligno del páncreas,clinical problems,1  
C26 Tumor maligno de otros sitios y de los no especificados del aparato digestivo,clinical problems,1  
C30 Tumor maligno de las fosas nasales y del oído medio,clinical problems,1  
C31 Tumor maligno de los senos paranasales,clinical problems,1  
C32 Tumor maligno de la laringe,clinical problems,1  
C33 Tumor maligno de la tráquea,clinical problems,1  
C34 Tumor maligno de los bronquios y del pulmón,clinical problems,1  
C37 Tumor maligno del timo,clinical problems,1  
C38 Tumor maligno del corazón, mediastino y pleura,clinical problems,1  
C39 Tumor maligno de otros sitios y de los no especificados del aparato respiratorio e intratorácico,clinical problems,1  
C40 Tumor maligno de los huesos y cartílagos articulares de los miembros,clinical problems,1  
C41 Tumor maligno de los huesos y cartílagos articulares de otros sitios y de los no especificados,clinical problems,1  
C43 Melanoma maligno de la piel,clinical problems,1  
C44 Otros tumores malignos de la piel,clinical problems,1  
C45 Mesotelioma maligno,clinical problems,1  
C46 Sarcoma de Kaposi,clinical problems,1  
C47 Tumor maligno de los nervios periféricos y del sistema nervioso autónomo,clinical problems,1  
C48 Tumor maligno de partes peritoneales y retroperitoneales,clinical problems,1  
C49 Tumor maligno de otros tejidos conjuntivos y de los no especificados,clinical problems,1  
C50 Tumor maligno de la mama,clinical problems,1  
C51 Tumor maligno de la vulva,clinical problems,1  
C52 Tumor maligno de la vagina,clinical problems,1  
C53 Tumor maligno del cuello del útero,clinical problems,1  
C54 Tumor maligno del cuerpo del útero,clinical problems,1  
C55 Tumor maligno del útero, parte no especificada,clinical problems,1  
C56 Tumor maligno del ovario,clinical problems,1  
C57 Tumor maligno de otros órganos genitales femeninos y de los no especificados,clinical problems,1  
C58 Tumor maligno de la placenta,clinical problems,1  
C60 Tumor maligno del pene,clinical problems,1  
C61 Tumor maligno de la próstata,clinical problems,1  
C62 Tumor maligno del testículo,clinical problems,1  
C63 Tumor maligno de otros órganos genitales masculinos y de los no especificados,clinical problems,1  
C64 Tumor maligno del riñón, excepto pelvis renal,clinical problems,1  
C65 Tumor maligno de la pelvis renal,clinical problems,1  
C66 Tumor maligno del uréter,clinical problems,1  
C67 Tumor maligno de la vejiga urinaria,clinical problems,1  
C68 Tumor maligno de otros órganos urinarios y de los no especificados,clinical problems,1  
C69 Tumor maligno del ojo y sus anexos,clinical problems,1  
C70 Tumor maligno de las meninges,clinical problems,1  
C71 Tumor maligno del encéfalo,clinical problems,1  
C72 Tumor maligno de la médula espinal, de los nervios craneales y de otras partes del sistema nervioso central,clinical problems,1  
C73 Tumor maligno de la glándula tiroides,clinical problems,1  
C74 Tumor maligno de la glándula suprarrenal,clinical problems,1  
C75 Tumor maligno de otras glándulas endocrinas y de las no especificadas,clinical problems,1  
C76 Tumor maligno de otras localizaciones mal definidas,clinical problems,1  
C77 Ganglios linfáticos secundarios y no especificados,clinical problems,1  
C78 Tumores malignos secundarios de los órganos respiratorios y digestivos,clinical problems,1  
C79 Tumores malignos secundarios de otros sitios,clinical problems,1  
C80 Tumor maligno, sin especificación de sitio,clinical problems,1  
C81 Enfermedad de Hodgkin,clinical problems,1  
C82 Linfoma no Hodgkin folicular (nodular),clinical problems,1  
C83 Otros linfomas no Hodgkin,clinical problems,1  
C84 Linfomas T/NK cutáneos periféricos,clinical problems,1  
C85 Otros tipos de linfoma no Hodgkin,clinical problems,1  
C88 Linfomas no clasificados en otra parte,clinical problems,1  
C90 Mieloma múltiple y neoplasias malignas de células plasmáticas,clinical problems,1  
C91 Leucemia linfoblástica,clinical problems,1  
C92 Leucemia mieloide,clinical problems,1  
C93 Leucemia monocítica,clinical problems,1  
C94 Otras leucemias de tipo celular especificado,clinical problems,1  
C95 Leucemia de tipo celular no especificado,clinical problems,1  
C96 Otras neoplasias malignas de tejido linfático, hematopoyético y tejidos relacionados,clinical problems,1  
C97 Neoplasias malignas de sitios múltiples independientes (primarios),clinical problems,1  
D00 Neoplasias in situ del labio, de la cavidad bucal y de la faringe,clinical problems,1  
D01 Neoplasias in situ del tracto digestivo,clinical problems,1  
D02 Neoplasias in situ del tracto respiratorio y de los órganos intratorácicos,clinical problems,1  
D03 Melanoma in situ,clinical problems,1  
D04 Neoplasias in situ de la piel,clinical problems,1  
D05 Neoplasias in situ de la mama,clinical problems,1  
D06 Neoplasias in situ del cuello del útero,clinical problems,1  
D07 Neoplasias in situ de otros órganos genitales y de los no especificados,clinical problems,1  
D09 Neoplasias in situ de otros sitios y de los no especificados,clinical problems,1  
D10 Neoplasia benigna de la boca y de la faringe,clinical problems,1  
D11 Neoplasia benigna de las glándulas salivales mayores,clinical problems,1  
D12 Neoplasia benigna del colon, del recto, del ano y del conducto anal,clinical problems,1  
D13 Neoplasia benigna de otras partes del aparato digestivo,clinical problems,1  
D14 Neoplasia benigna del aparato respiratorio e intratorácico,clinical problems,1  
D15 Neoplasia benigna de otros órganos intratorácicos,clinical problems,1  
D16 Neoplasia benigna del hueso y del cartílago articular,clinical problems,1  
D17 Neoplasia benigna del tejido adiposo,clinical problems,1  
D18 Hemangioma y linfangioma de cualquier localización,clinical problems,1  
D19 Neoplasia benigna del tejido mesotelial y del tejido conjuntivo blando,clinical problems,1  
D20 Neoplasia benigna de tejidos blandos del retroperitoneo y del peritoneo,clinical problems,1  
D21 Otras neoplasias benignas del tejido conjuntivo y de otros tejidos blandos,clinical problems,1  
D22 Nevos melanocíticos,clinical problems,1  
D23 Otras neoplasias benignas de la piel,clinical problems,1  
D24 Neoplasia benigna de la mama,clinical problems,1  
D25 Leiomioma del útero,clinical problems,1  
D26 Otras neoplasias benignas del útero,clinical problems,1  
D27 Neoplasia benigna del ovario,clinical problems,1  
D28 Neoplasia benigna de otros órganos genitales femeninos y de los no especificados,clinical problems,1  
D29 Neoplasia benigna de órganos genitales masculinos,clinical problems,1  
D30 Neoplasia benigna del aparato urinario,clinical problems,1  
D31 Neoplasia benigna del ojo y de sus anexos,clinical problems,1  
D32 Neoplasia benigna de las meninges,clinical problems,1  
D33 Neoplasia benigna del encéfalo y de otros sitios del sistema nervioso central,clinical problems,1  
D34 Neoplasia benigna de la glándula tiroides,clinical problems,1  
D35 Neoplasia benigna de otras glándulas endocrinas y de las no especificadas,clinical problems,1  
D36 Neoplasias benignas de otros sitios y de los no especificados,clinical problems,1  
D37 Neoplasia de comportamiento incierto o desconocido del labio, cavidad bucal y faringe,clinical problems,1  
D38 Neoplasia de comportamiento incierto o desconocido de los órganos respiratorios e intratorácicos,clinical problems,1  
D39 Neoplasia de comportamiento incierto o desconocido de los órganos genitales femeninos,clinical problems,1  
D40 Neoplasia de comportamiento incierto o desconocido de los órganos genitales masculinos,clinical problems,1  
D41 Neoplasia de comportamiento incierto o desconocido del aparato urinario,clinical problems,1  
D42 Neoplasia de comportamiento incierto o desconocido de las meninges,clinical problems,1  
D43 Neoplasia de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central,clinical problems,1  
D44 Neoplasia de comportamiento incierto o desconocido de las glándulas endocrinas,clinical problems,1  
D45 Policitemia vera,clinical problems,1  
D46 Síndromes mielodisplásicos,clinical problems,1  
D47 Otros síndromes mieloproliferativos,clinical problems,1  
D48 Neoplasias de comportamiento incierto o desconocido de otros sitios y de los no especificados,clinical problems,1  
D50 Anemia por deficiencia de hierro,clinical problems,1  
D51 Anemia por deficiencia de vitamina B12,clinical problems,1  
D52 Anemia por deficiencia de folato,clinical problems,1  
D53 Otras anemias nutricionales,clinical problems,1  
D55 Anemia debida a trastornos enzimáticos,clinical problems,1  
D56 Talasemia,clinical problems,1  
D57 Anemia de células falciformes,clinical problems,1  
D58 Otras anemias hemolíticas hereditarias,clinical problems,1  
D59 Anemia hemolítica adquirida,clinical problems,1  
D60 Aplasia pura adquirida de glóbulos rojos,clinical problems,1  
D61 Otros tipos de aplasia pura de glóbulos rojos y otros tipos de insuficiencia medular,clinical problems,1  
D62 Anemia aguda poshemorrágica,clinical problems,1  
D63 Anemia en enfermedades crónicas clasificadas en otra parte,clinical problems,1  
D64 Otras anemias,clinical problems,1  
D65 Coagulación intravascular diseminada,clinical problems,1  
D66 Deficiencia hereditaria del factor VIII,clinical problems,1  
D67 Deficiencia hereditaria del factor IX,clinical problems,1  
D68 Otros trastornos de la coagulación,clinical problems,1  
D69 Púrpura y otras diatesis hemorrágicas,clinical problems,1  
D70 Agranulocitosis,clinical problems,1  
D71 Trastornos funcionales persistentes de los glóbulos blancos,clinical problems,1  
D72 Otros trastornos de los glóbulos blancos,clinical problems,1  
D73 Enfermedades del bazo,clinical problems,1  
D74 Metahemoglobinemia,clinical problems,1  
D75 Otros trastornos de la sangre y de los órganos hematopoyéticos,clinical problems,1  
D76 Trastornos relacionados con las células T y con células asesinas naturales,clinical problems,1  
D77 Otros trastornos de la sangre y de los órganos hematopoyéticos en enfermedades clasificadas en otra parte,clinical problems,1  
D78 Complicaciones de procedimientos quirúrgicos y médicos, no clasificadas en otra parte,clinical problems,1  
D80 Inmunodeficiencia con predominio de déficit de anticuerpos,clinical problems,1  
D81 Inmunodeficiencias combinadas,clinical problems,1  
D82 Inmunodeficiencia asociada con otros defectos importantes,clinical problems,1  
D83 Inmunodeficiencia común variable,clinical problems,1  
D84 Otras inmunodeficiencias,clinical problems,1  
D86 Sarcoidosis,clinical problems,1  
D89 Otros trastornos que afectan al mecanismo inmunológico, no clasificados en otra parte,clinical problems,1  
E00 Síndrome congénito de deficiencia de yodo,clinical problems,1  
E01 Trastornos tiroideos y afecciones afines relacionados con deficiencia de yodo,clinical problems,1  
E02 Hipotiroidismo subclínico por deficiencia de yodo,clinical problems,1  
E03 Otros hipotiroidismos,clinical problems,1  
E04 Otros bocios no tóxicos,clinical problems,1  
E05 Tirotoxicosis (hipertiroidismo),clinical problems,1  
E06 Tiroiditis,clinical problems,1  
E07 Otros trastornos de la glándula tiroides,clinical problems,1  
E10 Diabetes mellitus insulinodependiente,clinical problems,1  
E11 Diabetes mellitus no insulinodependiente,clinical problems,1  
E12 Diabetes mellitus malnutricional,clinical problems,1  
E13 Otras formas especificadas de diabetes mellitus,clinical problems,1  
E14 Diabetes mellitus, sin especificación,clinical problems,1  
E15 Coma hipoglucémico, no diabético,clinical problems,1  
E16 Otros trastornos de la secreción pancreática interna,clinical problems,1  
E20 Hipoparatiroidismo,clinical problems,1  
E21 Hiperparatiroidismo y otros trastornos de la glándula paratiroides,clinical problems,1  
E22 Hiperfunción de la glándula hipófisis,clinical problems,1  
E23 Hipofunción y otros trastornos de la glándula hipófisis,clinical problems,1  
E24 Síndrome de Cushing,clinical problems,1  
E25 Trastornos adrenogenitales, clinical problems,1  
E26 Hiperaldosteronismo,clinical problems,1  
E27 Otros trastornos de la corteza suprarrenal,clinical problems,1  
E28 Disfunción ovárica,clinical problems,1  
E29 Disfunción testicular,clinical problems,1  
E30 Otros trastornos del desarrollo sexual,clinical problems,1  
E31 Disfunción poliglandular,clinical problems,1  
E32 Otros trastornos del timo,clinical problems,1  
E34 Otros trastornos endocrinos,clinical problems,1  
E35 Trastornos endocrinos en enfermedades clasificadas en otra parte,clinical problems,1  
E40 Kwashiorkor,clinical problems,1  
E41 Marasmo nutricional,clinical problems,1  
E42 Marasmo nutricional con kwashiorkor,clinical problems,1  
E43 Desnutrición proteico-calórica severa, no especificada,clinical problems,1  
E44 Desnutrición proteico-calórica de grado moderado y leve,clinical problems,1  
E45 Retraso del desarrollo debido a desnutrición proteico-calórica,clinical problems,1  
E46 Desnutrición proteico-calórica, sin especificación,clinical problems,1  
E50 Deficiencia de vitamina A,clinical problems,1  
E51 Deficiencia de tiamina,clinical problems,1  
